									
	Section	X	Y	Z		Distance	Section distance	Section elevation	Percentage elevation change
	0	0	0	9.857		0			
	1	-39.25281975	-9.321752025	10.125		40.34539309	40.34539309	0.268	0.66%
	2	-54.31347354	3.551143629	9.957		60.15859472	19.81320163	-0.168	-0.85%
	3	-66.14005009	36.96994171	9.318		95.61409216	35.45549744	-0.639	-1.80%
	4	-79.80561173	66.86930279	8.551		128.497335	32.88324281	-0.767	-2.33%
	5	-93.81994641	87.12984546	8.054		153.137509	24.640174	-0.497	-2.02%
	6	-116.1731273	113.9536625	7.264		188.0632295	34.92572056	-0.79	-2.26%
	7	-140.8091862	141.792092	6.762		225.2407168	37.17748729	-0.502	-1.35%
	8	-170.1061211	143.5042506	6.279		254.5916141	29.3508973	-0.483	-1.65%
	9	-216.4612282	134.2142052	5.775		301.8711541	47.27954003	-0.504	-1.07%
	10	-263.5772945	117.3779796	5.71		351.905007	50.03385281	-0.065	-0.13%
	11	-291.8913236	100.0661544	5.648		385.0921638	33.18715685	-0.062	-0.19%
	12	-308.7275492	72.73503111	5.585		417.1928299	32.10066606	-0.063	-0.20%
	13	-338.5000838	36.36751556	5.629		464.1928505	47.0000206	0.044	0.09%
	14	-367.5433656	-6.848634141	5.543		516.2616051	52.06875464	-0.086	-0.17%
	15	-393.6379299	-50.28673031	5.831		566.9358336	50.67422847	0.288	0.57%
	16	-427.5640342	-97.62474315	6.365		625.1780276	58.24219406	0.534	0.92%
	17	-452.2317998	-145.4383556	6.652		678.9806536	53.80262596	0.287	0.53%
	18	-469.7972781	-208.9150479	6.386		744.8434447	65.86279115	-0.266	-0.40%
	19	-508.8281514	-211.1028061	6.511		783.9357839	39.09233914	0.125	0.32%
	20	-491.5163262	-157.8990649	6.203		839.8860495	55.95026566	-0.308	-0.55%
	21	-452.2317998	-100.541754	5.825		909.4078304	69.52178087	-0.378	-0.54%
	22	-408.5400505	-40.26743222	5.695		983.8523045	74.44447408	-0.13	-0.17%
	23	-366.8775261	20.19712939	5.321		1057.281652	73.42934715	-0.374	-0.51%
	24	-331.17585	73.46428382	4.961		1121.407536	64.12588416	-0.36	-0.56%
	25	-310.9153074	113.9536625	4.73		1166.683719	45.27618289	-0.231	-0.51%
	26	-291.3840174	162.5282343	4.378		1219.039083	52.35536472	-0.352	-0.67%
	27	-254.2872491	213.2905642	4.146		1281.912275	62.87319124	-0.232	-0.37%
	28	-206.6955832	237.9583298	3.772		1335.518293	53.60601834	-0.374	-0.70%
	29	-154.9820541	242.333846	3.358		1387.418251	51.8999579	-0.414	-0.80%
	30	-99.81250128	223.8488752	5.374		1445.637131	58.21887976	2.016	3.46%
	31	-46.35510701	187.1959999	8.976		1510.553236	64.91610489	3.602	5.55%
	32	-2.917010838	153.0162424	11.715		1565.894234	55.34099871	2.739	4.95%
	33	37.09676826	118.1072323	11.858		1618.995665	53.10143083	0.143	0.27%
	34	84.4347811	76.12764154	9.176		1682.323121	63.32745552	-2.682	-4.24%
	35	133.8971388	32.46759889	9.198		1748.298303	65.97518197	0.022	0.03%
	36	171.8182797	-6.848634141	9.444		1802.922836	54.62453316	0.246	0.45%
	37	148.8626727	-37.09676826	9.038		1840.89749	37.97465402	-0.406	-1.07%
	38	108.3415873	-69.78631363	8.442		1892.963985	52.06649546	-0.596	-1.14%
	39	48.79651826	-72.22772488	9.538		1952.569161	59.60517557	1.096	1.84%
	40	35.13095661	-34.90901014	9.747		1992.311804	39.74264367	0.209	0.53%
	41	23.17755351	-7.799833327	9.743		2021.939348	29.62754342	-0.004	-0.01%
	42	0	0	9.857		2046.394396	24.4550482	0.114	0.47%